ObjectId;goal_code;goal_labelEN;goal_descEN;target_code;target_descEN;indicator_code;indicator_reference;indicator_descEN;series_release;series_tags;series;seriesDescription;geoAreaCode;geoAreaName;level_;parentCode;parentName;type;X;Y;ISO3;UN_Member;Country_Profile;UnitMultiplier;Units_code;Units_desc;timeSeries_id;timeSeries_keys;n_years;min_year;max_year;years;value_2019;latest_value;footnotes;nature
1;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);854;Burkina Faso;4;11;Western Africa;Country;-1.742843829;12.27491081;BFA;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];15.64023;15.64023;Very Low Confidence;E: Estimated data
2;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);108;Burundi;4;14;Eastern Africa;Country;29.89080992;-3.366387428;BDI;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];102.69433;102.69433;Low Confidence;E: Estimated data
3;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);108;Burundi;4;14;Eastern Africa;Country;29.89080992;-3.366387428;BDI;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];27.64808;27.64808;Very Low Confidence;E: Estimated data
4;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);108;Burundi;4;14;Eastern Africa;Country;29.89080992;-3.366387428;BDI;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];15.64023;15.64023;Very Low Confidence;E: Estimated data
5;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);132;Cabo Verde;4;11;Western Africa;Country;-23.63544151;15.07791834;CPV;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];99.5913;99.5913;Low Confidence;E: Estimated data
6;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);132;Cabo Verde;4;11;Western Africa;Country;-23.63544151;15.07791834;CPV;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];27.64808;27.64808;Very Low Confidence;E: Estimated data
7;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);132;Cabo Verde;4;11;Western Africa;Country;-23.63544151;15.07791834;CPV;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];15.64023;15.64023;Very Low Confidence;E: Estimated data
8;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);748;Eswatini;4;18;Southern Africa;Country;31.50149288;-26.56471011;SWZ;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];27.64808;27.64808;Very Low Confidence;E: Estimated data
9;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);116;Cambodia;4;35;South-Eastern Asia;Country;104.922836;12.71163737;KHM;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];86.33713;86.33713;Very Low Confidence;E: Estimated data
10;12;Goal 12;Ensure sustainable consumption and production patterns;12.3;By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses;C120301;12.3.1;(a) Food loss index and (b) food waste index;2021.Q2.G.03;['food waste', 'food losses'];AG_FOOD_WST_PC;Food waste per capita (KG);376;Israel;4;145;Western Asia;Country;34.62277992;31.06164552;ISR;1;1;;KG;Kilograms;AG_FOOD_WST_PC;;1;2019;2019;[2019];99.58392;99.58392;Medium Confidence;E: Estimated data
